Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,Bolivar Soberano   (VES)                     
25-01-2023,138.7003546,1.437317852,0.376,3368970.203,12.73775588,5.088000501,1.39040668,1.299193749,909.3578997,6.957012972,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074762,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506805,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.736911565,3.64,60.11608209,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277663,2.995931453,3.6725,0.844891596,1,40.42251075,560.2705455
26-01-2023,138.6591007,1.437317852,0.376,3371205.906,12.73802607,5.088000501,1.39040668,1.299193749,909.3578997,6.960529754,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074329,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506768,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.736621105,3.64,60.11613558,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277665,2.995931453,3.6725,0.844891596,1,40.42251063,542.912719
27-01-2023,138.6193311,1.437317852,0.376,3373440.275,12.73777586,5.088000501,1.39040668,1.299193749,909.3578997,6.964023925,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074669,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506746,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.736336551,3.64,60.11618071,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277667,2.995931453,3.6725,0.844891596,1,40.42251072,560.2661409
28-01-2023,138.5809924,1.437317852,0.376,3375673.31,12.73800757,5.088000501,1.39040668,1.299193749,909.3578997,6.967495632,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074402,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506733,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.736057782,3.64,60.11621878,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277667,2.995931453,3.6725,0.844891596,1,40.42251066,542.9171225
29-01-2023,138.5440331,1.437317852,0.376,3377905.011,12.737793,5.088000501,1.39040668,1.299193749,909.3578997,6.970945018,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074611,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506725,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.73578468,3.64,60.1162509,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277668,2.995931453,3.6725,0.844891596,1,40.4225107,560.2617384
30-01-2023,138.5084035,1.437317852,0.376,3380135.38,12.7379917,5.088000501,1.39040668,1.299193749,909.3578997,6.974372227,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074447,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.0650672,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.735517131,3.64,60.11627799,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277668,2.995931453,3.6725,0.844891596,1,40.42251067,542.9215238
31-01-2023,138.4740559,1.437317852,0.376,3382364.418,12.73780769,5.088000501,1.39040668,1.299193749,909.3578997,6.977777402,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074576,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506717,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.735255022,3.64,60.11630085,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277668,2.995931453,3.6725,0.844891596,1,40.42251069,560.2573382
01-02-2023,138.440944,1.437317852,0.376,3384592.125,12.73797809,5.088000501,1.39040668,1.299193749,909.3578997,6.981160684,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074475,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506716,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.734998241,3.64,60.11632013,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277668,2.995931453,3.6725,0.844891596,1,40.42251068,542.9259229
02-02-2023,138.4090235,1.437317852,0.376,3386818.502,12.73782029,5.088000501,1.39040668,1.299193749,909.3578997,6.984522214,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074554,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506715,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.734746681,3.64,60.1163364,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277668,2.995931453,3.6725,0.844891596,1,40.42251069,560.2529403
03-02-2023,138.3782515,1.437317852,0.376,3389043.549,12.73796642,5.088000501,1.39040668,1.299193749,909.3578997,6.987862131,3997.487719,24.6147465,7.432858754,0.999316258,280.9630038,116.1184001,79.91074492,14541.18181,42000,3.25954844,136.7249907,380.5833928,1336.66197,0.3076511,1.9324,4.474228498,44.06506714,19.92549833,112.5551149,1.61286196,9.660115166,0.3845,138.8700846,3.846016855,55.98224616,4.734500236,3.64,60.11635012,3.75,1.390402897,16.82003763,182.6956895,10.59995671,0.962819047,35.88501932,6.744277668,2.995931453,3.6725,0.844891596,1,40.42251068,542.9303198
